Region,Country/Territory,Sales Group,Brand,Manufacturer,Production Type,Production Nameplate,Plant,Propulsion,Body Type,Global Sales Sub-Segment,Regional Sales Segment,Regional Sales Price Class,SOP,2025,2026,2027,2028,2029,2030,2031
Europe,Germany,Premium,BMW,BMW,Mass Production,3 Series,Munich,BEV,Car,Car,D,Mid,2023,125000,135000,145000,155000,165000,175000,185000
Europe,Germany,Premium,Mercedes,Daimler,Mass Production,C-Class,Stuttgart,BEV,Car,Car,D,Mid,2023,115000,125000,135000,145000,155000,165000,175000
Europe,Germany,Volume,VW,Volkswagen,Mass Production,Golf,Wolfsburg,BEV,Car,Car,C,Entry,2022,250000,280000,310000,340000,370000,400000,430000
Europe,France,Volume,Renault,Renault,Mass Production,Megane,Paris,PHEV,Car,Car,C,Entry,2023,85000,95000,105000,115000,125000,135000,145000
Europe,Italy,Volume,Fiat,Stellantis,Mass Production,500,Turin,BEV,Car,Car,B,Entry,2020,180000,190000,200000,210000,220000,230000,240000
Asia,China,Volume,BYD,BYD,Mass Production,Qin,Chongqing,BEV,SUV,SUV,C,Mid,2023,420000,460000,500000,540000,580000,620000,660000
Asia,China,Volume,NIO,NIO,Mass Production,ES6,Beijing,BEV,SUV,SUV,D,Premium,2024,180000,210000,240000,270000,300000,330000,360000
North America,USA,Premium,Tesla,Tesla,Mass Production,Model 3,Fremont,BEV,Car,Car,D,Mid,2021,550000,600000,650000,700000,750000,800000,850000
North America,USA,Premium,Tesla,Tesla,Mass Production,Model Y,Nevada,BEV,SUV,SUV,D,Mid,2020,420000,480000,540000,600000,660000,720000,780000
North America,USA,Volume,GM,General Motors,Mass Production,Bolt,Michigan,BEV,Car,Car,B,Entry,2021,220000,240000,260000,280000,300000,320000,340000
