SECTION;AUTO/CV;CATEGORY;FOCUS;NEWS LINK;DATE;ADDITIONAL INFORMATION
Competitor&Partnership;Automotive;Hypercar;Brose ;https://www.linkedin.com/posts/apollo-x-brose-evo-hypercar-ugcPost-7483452146915422209-Vwg3/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;20.07.2026;PressRelease
Customer;CV;Railway;Siemens Mobility;https://www.linkedin.com/posts/michaelmppeter_great-to-see-another-velaro-order-weve-share-7484926287468396544-QZ2Z/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;20.07.2026;
Competitor&Partnership;CV;Agriculture;Isri;https://www.linkedin.com/posts/dieter-d%C3%A4nzer-974571a4_newideasthinktank-treckertalk-treckertalkpodcast-ugcPost-7480523596788895744-CBbC/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;17.07.2026;
Customer;Automotive;Ghent plant;Volvo;Volvo Cars agrees MoU on support for Ghent plant;17.07.2026;
Customer;CV;Material Handling;Yale;Yale updates flagship electric counterbalanced lift truck | Industrial Vehicle Technology International;16.07.2026;
Customer;Automotive;Strategy;Dongfeng;Chinese carmaker Dongfeng is preparing to sell EVs in Canada | Financial Post;16.07.2026;
Customer;CV;Truck;MAN;https://www.linkedin.com/posts/man-mantruckandbus-emobility-share-7483463437155500032-Ijq3/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;16.07.2026;
Customer;CV;Agriculture;Lindner;https://www.linkedin.com/posts/forviahella-specialoriginalequipment-slimline-ugcPost-7483075473825144833-x3Qt/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;16.07.2026;Forvia Hella
Customer;Automotive;Strategy;Stellantis;Stellantis enters US micromobility market with Fiat Topolino launch;14.07.2026;
Customer;Automotive;Sales loss;BMW;BMW Group deliveries dip in Q2 as China demand slumps;14.07.2026;
