Headline,Summary,Company,Publication Date,Source,Section,Auto / CV,URL,Highlights
Tesla Expands Mexico Capacity,Tesla announced a $5B investment in Mexico to build a new gigafactory. The facility will produce Model 3 and Model Y variants. This expansion supports North American EV growth.,Tesla,2026-07-18,Automotive News,Competitor & Partnership,Auto,https://www.automotivesnews.com,New manufacturing capacity supports growth; Competitive pressure increases; Supply chain resilience improved
BYD Becomes World's Largest EV Maker,BYD surpassed Tesla in total EV sales with 1.2M units sold in 2025. The Chinese OEM leads in battery technology and cost efficiency.,BYD,2026-07-17,Reuters,News & Trends,Auto,https://www.reuters.com,China dominates EV market; Battery costs declining; Global competition intensifies
Volkswagen Partners with Samsung on Batteries,VW signed a joint venture with Samsung SDI to produce next-generation solid-state batteries. Production to begin in 2028.,Volkswagen,2026-07-16,Reuters,Competitor & Partnership,Auto,https://www.reuters.com,Technology advancement; Supply security; Cost reduction potential
Ford Launches Affordable EV Line,Ford introduced the new Focus EV priced at $22,000. The vehicle targets mass-market buyers and is manufactured in Europe.,Ford,2026-07-15,Bloomberg,News & Trends,Auto,https://www.bloomberg.com,Price point breakthrough; Market democratization; Sales volume increase expected
GM Exits Russian Market,General Motors announced full exit from Russia effective end of 2026. Production assets will be repurposed for European operations.,General Motors,2026-07-14,Reuters,News & Trends,Auto,https://www.reuters.com,Geopolitical impact; Capacity reallocation; European focus shift
Mercedes Introduces New EQE Sedan,Mercedes launched the EQE sedan with advanced autonomous features. Starting price: €58,000. Expected volume: 250k units/year.,Mercedes,2026-07-13,Automotive News,News & Trends,Auto,https://www.automotivesnews.com,Mid-size EV expansion; Tech leadership; Premium market segmentation
Li Auto Reports Record Deliveries,Li Auto delivered 185,000 vehicles in Q2 2026, up 45% YoY. EREV technology gaining traction with fleet operators.,Li Auto,2026-07-12,TechCrunch,Competitor & Partnership,Auto,https://www.techcrunch.com,EREV adoption growing; Chinese OEM strength; Alternative EV approach
Stellantis Announces 10-Factory Battery Plan,Stellantis will invest €12B in battery production across Europe and North America. Five factories operational by 2028.,Stellantis,2026-07-11,Reuters,News & Trends,Auto,https://www.reuters.com,Vertical integration strategy; Supply independence; Cost control
Honda Recalls 500K EVs,Honda issued recall for battery defect affecting 500,000 e:Ny1 models sold since 2024. Over-the-air fix available within 4 weeks.,Honda,2026-07-10,Reuters,Customer,Auto,https://www.reuters.com,Quality control issue; Customer confidence impact; OTA solution mitigates recall costs
Hyundai-Kia Win Fleet Contract,Hyundai and Kia secured large fleet contract with European taxi operators: 45,000 vehicles over 3 years. EVs represent 60% of order.,Hyundai,2026-07-09,Automotive News,Customer,Auto,https://www.automotivesnews.com,Fleet electrification accelerating; B2B growth; Revenue diversification
